group	x	y
1	0.784543151845891	0.612982832685876
2	0.952057984047024	0.845974223443603
3	0.758175197026193	0.815081946137777
4	0.865985778321953	0.995758668017739
5	0.724034997702888	0.956426955397742
6	0.656864135934726	0.648712793840218
7	0.833587551744036	0.632058653664085
8	0.736517059921951	0.492468707887652
9	0.656864135934726	1
10	0.907866055781493	0
11	0.828615798072785	0.870935000397467
12	0.924245223367403	0.439741103074338
13	0.917410086489242	0.959658598441364
14	0.931962923364301	0.934316430484217
15	0.833587551744036	0.938831009864463
16	1	0.590798883886382
17	0.928976291116403	0.590798883886382
18	0.710169657330835	0.532564766910784
19	0.528951908157763	0.492468707887652
20	0.947574989312869	0.780879585284708
21	0.605502847819349	0.906992679299164
22	0.528951908157763	0.793811621480284
23	0.905803240804774	0.709002797785044
24	0.528951908157763	0
25	0	0
26	0	0
27	0.266045139133463	0
28	0.724034997702888	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0.266045139133463	0
36	0.393244217544992	0
37	0	0
38	0.656864135934726	0
39	0	0
40	0.393244217544992	0
41	0	0
42	0	0
43	0	0
44	0.266045139133463	0
45	0.393244217544992	0
46	0	0
47	0	0.663434138481667
48	0.266045139133463	0
49	0.393244217544992	0.532564766910784
50	0	0.590798883886382
51	0.266045139133463	0
52	0	0.914979256912129
53	0.266045139133463	0
54	0	0
55	0	0
56	0	0.532564766910784
57	0	0
58	0	0.663434138481667
59	0.393244217544992	0.875301384064884
60	0	0
61	0	0.850108582116281
62	0.736517059921951	0
63	0	0
64	0	0
65	0.528951908157763	0
66	0.393244217544992	0.564504842031933
67	0	0.492468707887652
68	0	0
69	0	0.648712793840218
