colour	x	y	showSelectedlegendcolour	clickSelects	showSelected1	fill
#F8766D	-0.492185118846186	0	AllSoilM1M3	Bacillus, Bradyrhizobium	0	#F8766D
#F8766D	0.196954365043092	0.0217391304347826	AllSoilM1M3	Bacillus, Burkholderia	0	#F8766D
#F8766D	0.112469868081233	0.478260869565217	AllSoilM1M3	Bacillus, Chitinophaga	0	#F8766D
#F8766D	-0.00935246735973443	0.152173913043478	AllSoilM1M3	Bacillus, Flavobacterium	0	#F8766D
#F8766D	0.385400597600645	0	AllSoilM1M3	Bacillus, Gp16	0	#F8766D
#F8766D	-0.491180873418061	0	AllSoilM1M3	Bacillus, Gp6	0	#F8766D
#F8766D	-0.0533104278659658	0.217391304347826	AllSoilM1M3	Bacillus, Labrys	0	#F8766D
#F8766D	-0.222841481264639	0.152173913043478	AllSoilM1M3	Bacillus, Mucilaginibacter	0	#F8766D
#F8766D	0.453761341663238	0	AllSoilM1M3	Bacillus, Mycobacterium	0	#F8766D
#F8766D	0.45822057984885	0	AllSoilM1M3	Bacillus, Paenibacillus	0	#F8766D
#F8766D	-0.0630404240609684	0.478260869565217	AllSoilM1M3	Bacillus, Pedobacter	0	#F8766D
#F8766D	-0.220482093728181	0.434782608695652	AllSoilM1M3	Bacillus, Pseudomonas	0	#F8766D
#F8766D	-0.0993859888251182	0.0434782608695652	AllSoilM1M3	Bacillus, Rhizobium	0	#F8766D
#F8766D	-0.678155898458472	0	AllSoilM1M3	Bacillus, Spartobacteria_genera_incertae_sedis	0	#F8766D
#F8766D	-0.0751099638414637	0	AllSoilM1M3	Bacillus, Sphingomonas	0	#F8766D
#F8766D	0.190652467613087	0.391304347826087	AllSoilM1M3	Bacillus, Absidia	0	#F8766D
#F8766D	-0.261889310854331	0.347826086956522	AllSoilM1M3	Bacillus, Amphinema	0	#F8766D
#F8766D	-0.47891100656853	0.173913043478261	AllSoilM1M3	Bacillus, Cenococcum	0	#F8766D
#F8766D	-0.0371830035170149	0.456521739130435	AllSoilM1M3	Bacillus, Chaetomium	0	#F8766D
#F8766D	0.0759320425918937	0.0652173913043478	AllSoilM1M3	Bacillus, Inocybe	0	#F8766D
#F8766D	0.334013784383368	0.0869565217391304	AllSoilM1M3	Bacillus, Metarhizium	0	#F8766D
#F8766D	0.534833114767554	0.0434782608695652	AllSoilM1M3	Bacillus, Mortierella	0	#F8766D
#F8766D	0.17541147018285	0	AllSoilM1M3	Bacillus, Penicillium	0	#F8766D
#F8766D	-0.0856810980885154	0.152173913043478	AllSoilM1M3	Bacillus, Phialocephala	0	#F8766D
#F8766D	0.190105761221509	0.0217391304347826	AllSoilM1M3	Bacillus, Russula	0	#F8766D
#F8766D	-0.0286012439275108	0.108695652173913	AllSoilM1M3	Bacillus, Tomentella	0	#F8766D
#F8766D	0.387602744977268	0.260869565217391	AllSoilM1M3	Bacillus, Trichoderma	0	#F8766D
#F8766D	0.399281233876116	0.0434782608695652	AllSoilM1M3	Bacillus, Umbelopsis	0	#F8766D
#F8766D	-0.0442651722533612	0.391304347826087	AllSoilM1M3	Bacillus, Wilcoxina	0	#F8766D
#F8766D	0.361426367555465	0.0217391304347826	AllSoilM1M3	Bradyrhizobium, Burkholderia	0	#F8766D
#F8766D	-0.081298471361707	0.478260869565217	AllSoilM1M3	Bradyrhizobium, Chitinophaga	0	#F8766D
#F8766D	0.228913229674881	0.152173913043478	AllSoilM1M3	Bradyrhizobium, Flavobacterium	0	#F8766D
#F8766D	-0.403839101121804	0	AllSoilM1M3	Bradyrhizobium, Gp16	0	#F8766D
#F8766D	0.437390933419436	0	AllSoilM1M3	Bradyrhizobium, Gp6	0	#F8766D
#F8766D	0.291957747420203	0.217391304347826	AllSoilM1M3	Bradyrhizobium, Labrys	0	#F8766D
#F8766D	0.465041289787134	0.152173913043478	AllSoilM1M3	Bradyrhizobium, Mucilaginibacter	0	#F8766D
#F8766D	-0.246675415537796	0	AllSoilM1M3	Bradyrhizobium, Mycobacterium	0	#F8766D
#F8766D	-0.501797093079363	0	AllSoilM1M3	Bradyrhizobium, Paenibacillus	0	#F8766D
#F8766D	0.181871352628969	0.478260869565217	AllSoilM1M3	Bradyrhizobium, Pedobacter	0	#F8766D
#F8766D	0.285932069502771	0.434782608695652	AllSoilM1M3	Bradyrhizobium, Pseudomonas	0	#F8766D
