group	x	y
1	0.335349891978455	0
2	0.387808385164295	0
3	0	0.479304202948239
4	0.442239196475606	0
5	0.417183043583323	0
6	0.283463308985389	0
7	0.459971948484707	0
8	0.613636441153144	0
9	0.400177637217716	0
10	0.514137848780769	0
11	0.476084851767384	0
12	0.343959803630027	0
13	0.40603748771038	0
14	0.306317174271455	0
15	0.387808385164295	0
16	0.526220027151911	0
17	0.417183043583323	0
18	0.343959803630027	0
19	0.636335116182083	0
20	0.455703779352738	0.4240574609016
21	0.487281517687607	0
22	0.545638534247684	0
23	0.537562342982318	0
24	0.0739787927576595	0.749838127280747
25	0.932384301865351	0
26	0	0.944042440337478
27	0.154174431267685	0.873587960169527
28	0	0.765979047272033
29	0.154174431267685	0.959950643692462
30	0	1
31	0.707902540572062	0.417152588651066
32	0.464139380452301	0
33	0.494376854262558	0.573503805017834
34	0	0.928361528791535
35	0.886421194140399	0.394178512072157
36	0.760181287878849	0
37	0.810336900146579	0.496566544934258
38	0.699599930139508	0.940372392315727
39	0.387808385164295	0.880188513942524
40	0.577122363847716	0.772213395774568
41	0.808155509718983	0.492441332990943
42	0.545638534247684	0.571098043296685
43	0.946054604016749	0
44	0.843877471688677	0.720844243683976
45	0.680605551150192	0.4240574609016
46	0.869778434131199	0
47	0	0.645382679792401
48	0	0.750547353344993
49	0	0.684645256088225
50	0.335349891978455	0.761451889836051
51	0	0.909869802625577
52	0.721412084257051	0.653853589853442
53	0	0.846378472968758
54	0.181399345848635	0.67309702407334
55	0.490864018734952	0.827518527475308
56	0	0.707230673299239
57	0.343959803630027	0.73488127329082
58	0.501204660392383	0.686849103654568
59	0.825037585388595	0.633261480674652
60	0.983995757833245	0.803932297453699
61	0.61730244357793	0
62	0.940761980193278	0.792691308668734
63	0.761992489801348	0.76469976180895
64	0.979826650393188	0.469827543468814
65	0.791467449514424	0.511977674110454
66	0.74216995205674	0
67	1	0.469827543468814
68	0	0.5082767790276
69	0.976297390399458	0.85038101042398
