colour	x	xend	y	yend	showSelectedlegendcolour	clickSelects	showSelected1
#00BFC4	0	0.17364817766693	1	0.984807753012208	positive	Bacillus, Bradyrhizobium	0
#F8766D	0	0.342020143325669	1	0.939692620785909	negative	Bacillus, Burkholderia	0
#00BFC4	0	0.5	1	0.866025403784439	positive	Bacillus, Cellvibrio	0
#F8766D	0.17364817766693	0.5	0.984807753012208	0.866025403784439	negative	Bradyrhizobium, Cellvibrio	0
#F8766D	0.342020143325669	0.5	0.939692620785909	0.866025403784439	negative	Burkholderia, Cellvibrio	0
#F8766D	0	0.642787609686539	1	0.766044443118978	negative	Bacillus, Chitinophaga	0
#F8766D	0.17364817766693	0.642787609686539	0.984807753012208	0.766044443118978	negative	Bradyrhizobium, Chitinophaga	0
#00BFC4	0.342020143325669	0.642787609686539	0.939692620785909	0.766044443118978	positive	Burkholderia, Chitinophaga	0
#00BFC4	0.5	0.642787609686539	0.866025403784439	0.766044443118978	positive	Cellvibrio, Chitinophaga	0
#00BFC4	0	0.766044443118978	1	0.642787609686539	positive	Bacillus, Flavobacterium	0
#F8766D	0.17364817766693	0.766044443118978	0.984807753012208	0.642787609686539	negative	Bradyrhizobium, Flavobacterium	0
#F8766D	0.342020143325669	0.766044443118978	0.939692620785909	0.642787609686539	negative	Burkholderia, Flavobacterium	0
#00BFC4	0.5	0.766044443118978	0.866025403784439	0.642787609686539	positive	Cellvibrio, Flavobacterium	0
#00BFC4	0.642787609686539	0.766044443118978	0.766044443118978	0.642787609686539	positive	Chitinophaga, Flavobacterium	0
#00BFC4	0	0.866025403784439	1	0.5	positive	Bacillus, Gp16	0
#00BFC4	0.17364817766693	0.866025403784439	0.984807753012208	0.5	positive	Bradyrhizobium, Gp16	0
#F8766D	0.342020143325669	0.866025403784439	0.939692620785909	0.5	negative	Burkholderia, Gp16	0
#F8766D	0.5	0.866025403784439	0.866025403784439	0.5	negative	Cellvibrio, Gp16	0
#F8766D	0.642787609686539	0.866025403784439	0.766044443118978	0.5	negative	Chitinophaga, Gp16	0
#F8766D	0.766044443118978	0.866025403784439	0.642787609686539	0.5	negative	Flavobacterium, Gp16	0
#00BFC4	0	0.939692620785908	1	0.342020143325669	positive	Bacillus, Gp6	0
#00BFC4	0.17364817766693	0.939692620785908	0.984807753012208	0.342020143325669	positive	Bradyrhizobium, Gp6	0
#F8766D	0.342020143325669	0.939692620785908	0.939692620785909	0.342020143325669	negative	Burkholderia, Gp6	0
#F8766D	0.5	0.939692620785908	0.866025403784439	0.342020143325669	negative	Cellvibrio, Gp6	0
#F8766D	0.642787609686539	0.939692620785908	0.766044443118978	0.342020143325669	negative	Chitinophaga, Gp6	0
#F8766D	0.766044443118978	0.939692620785908	0.642787609686539	0.342020143325669	negative	Flavobacterium, Gp6	0
#00BFC4	0.866025403784439	0.939692620785908	0.5	0.342020143325669	positive	Gp16, Gp6	0
#00BFC4	0	0.984807753012208	1	0.17364817766693	positive	Bacillus, Kaistia	0
#F8766D	0.17364817766693	0.984807753012208	0.984807753012208	0.17364817766693	negative	Bradyrhizobium, Kaistia	0
#F8766D	0.342020143325669	0.984807753012208	0.939692620785909	0.17364817766693	negative	Burkholderia, Kaistia	0
#00BFC4	0.5	0.984807753012208	0.866025403784439	0.17364817766693	positive	Cellvibrio, Kaistia	0
#00BFC4	0.642787609686539	0.984807753012208	0.766044443118978	0.17364817766693	positive	Chitinophaga, Kaistia	0
#00BFC4	0.766044443118978	0.984807753012208	0.642787609686539	0.17364817766693	positive	Flavobacterium, Kaistia	0
#F8766D	0.866025403784439	0.984807753012208	0.5	0.17364817766693	negative	Gp16, Kaistia	0
#F8766D	0.939692620785908	0.984807753012208	0.342020143325669	0.17364817766693	negative	Gp6, Kaistia	0
#F8766D	0	1	1	6.12323399573677e-17	negative	Bacillus, Labrys	0
#F8766D	0.17364817766693	1	0.984807753012208	6.12323399573677e-17	negative	Bradyrhizobium, Labrys	0
#00BFC4	0.5	1	0.866025403784439	6.12323399573677e-17	positive	Cellvibrio, Labrys	0
#00BFC4	0.642787609686539	1	0.766044443118978	6.12323399573677e-17	positive	Chitinophaga, Labrys	0
#00BFC4	0.766044443118978	1	0.642787609686539	6.12323399573677e-17	positive	Flavobacterium, Labrys	0
#F8766D	0.866025403784439	1	0.5	6.12323399573677e-17	negative	Gp16, Labrys	0
#F8766D	0.939692620785908	1	0.342020143325669	6.12323399573677e-17	negative	Gp6, Labrys	0
#00BFC4	0.984807753012208	1	0.17364817766693	6.12323399573677e-17	positive	Kaistia, Labrys	0
#F8766D	0	0.984807753012208	1	-0.17364817766693	negative	Bacillus, Luteibacter	0
#F8766D	0.17364817766693	0.984807753012208	0.984807753012208	-0.17364817766693	negative	Bradyrhizobium, Luteibacter	0
#00BFC4	0.342020143325669	0.984807753012208	0.939692620785909	-0.17364817766693	positive	Burkholderia, Luteibacter	0
#00BFC4	0.642787609686539	0.984807753012208	0.766044443118978	-0.17364817766693	positive	Chitinophaga, Luteibacter	0
#F8766D	0.766044443118978	0.984807753012208	0.642787609686539	-0.17364817766693	negative	Flavobacterium, Luteibacter	0
#F8766D	0.866025403784439	0.984807753012208	0.5	-0.17364817766693	negative	Gp16, Luteibacter	0
#F8766D	0.939692620785908	0.984807753012208	0.342020143325669	-0.17364817766693	negative	Gp6, Luteibacter	0
#F8766D	0.984807753012208	0.984807753012208	0.17364817766693	-0.17364817766693	negative	Kaistia, Luteibacter	0
#00BFC4	1	0.984807753012208	6.12323399573677e-17	-0.17364817766693	positive	Labrys, Luteibacter	0
#F8766D	0.17364817766693	0.939692620785909	0.984807753012208	-0.342020143325669	negative	Bradyrhizobium, Mucilaginibacter	0
#00BFC4	0.5	0.939692620785909	0.866025403784439	-0.342020143325669	positive	Cellvibrio, Mucilaginibacter	0
#00BFC4	0.642787609686539	0.939692620785909	0.766044443118978	-0.342020143325669	positive	Chitinophaga, Mucilaginibacter	0
#00BFC4	0.766044443118978	0.939692620785909	0.642787609686539	-0.342020143325669	positive	Flavobacterium, Mucilaginibacter	0
#F8766D	0.866025403784439	0.939692620785909	0.5	-0.342020143325669	negative	Gp16, Mucilaginibacter	0
#F8766D	0.939692620785908	0.939692620785909	0.342020143325669	-0.342020143325669	negative	Gp6, Mucilaginibacter	0
#00BFC4	0.984807753012208	0.939692620785909	0.17364817766693	-0.342020143325669	positive	Kaistia, Mucilaginibacter	0
#00BFC4	1	0.939692620785909	6.12323399573677e-17	-0.342020143325669	positive	Labrys, Mucilaginibacter	0
#00BFC4	0.984807753012208	0.939692620785909	-0.17364817766693	-0.342020143325669	positive	Luteibacter, Mucilaginibacter	0
#00BFC4	0	0.866025403784439	1	-0.5	positive	Bacillus, Mycobacterium	0
#F8766D	0.17364817766693	0.866025403784439	0.984807753012208	-0.5	negative	Bradyrhizobium, Mycobacterium	0
#F8766D	0.342020143325669	0.866025403784439	0.939692620785909	-0.5	negative	Burkholderia, Mycobacterium	0
#00BFC4	0.5	0.866025403784439	0.866025403784439	-0.5	positive	Cellvibrio, Mycobacterium	0
#00BFC4	0.766044443118978	0.866025403784439	0.642787609686539	-0.5	positive	Flavobacterium, Mycobacterium	0
#F8766D	0.866025403784439	0.866025403784439	0.5	-0.5	negative	Gp16, Mycobacterium	0
#F8766D	0.939692620785908	0.866025403784439	0.342020143325669	-0.5	negative	Gp6, Mycobacterium	0
#00BFC4	0.984807753012208	0.866025403784439	0.17364817766693	-0.5	positive	Kaistia, Mycobacterium	0
#00BFC4	1	0.866025403784439	6.12323399573677e-17	-0.5	positive	Labrys, Mycobacterium	0
#F8766D	0.984807753012208	0.866025403784439	-0.17364817766693	-0.5	negative	Luteibacter, Mycobacterium	0
#00BFC4	0	0.766044443118978	1	-0.642787609686539	positive	Bacillus, Paenibacillus	0
#F8766D	0.17364817766693	0.766044443118978	0.984807753012208	-0.642787609686539	negative	Bradyrhizobium, Paenibacillus	0
#F8766D	0.342020143325669	0.766044443118978	0.939692620785909	-0.642787609686539	negative	Burkholderia, Paenibacillus	0
#00BFC4	0.5	0.766044443118978	0.866025403784439	-0.642787609686539	positive	Cellvibrio, Paenibacillus	0
#00BFC4	0.642787609686539	0.766044443118978	0.766044443118978	-0.642787609686539	positive	Chitinophaga, Paenibacillus	0
#00BFC4	0.766044443118978	0.766044443118978	0.642787609686539	-0.642787609686539	positive	Flavobacterium, Paenibacillus	0
#F8766D	0.866025403784439	0.766044443118978	0.5	-0.642787609686539	negative	Gp16, Paenibacillus	0
#F8766D	0.939692620785908	0.766044443118978	0.342020143325669	-0.642787609686539	negative	Gp6, Paenibacillus	0
#00BFC4	0.984807753012208	0.766044443118978	0.17364817766693	-0.642787609686539	positive	Kaistia, Paenibacillus	0
#F8766D	0.984807753012208	0.766044443118978	-0.17364817766693	-0.642787609686539	negative	Luteibacter, Paenibacillus	0
#00BFC4	0.939692620785909	0.766044443118978	-0.342020143325669	-0.642787609686539	positive	Mucilaginibacter, Paenibacillus	0
#00BFC4	0.866025403784439	0.766044443118978	-0.5	-0.642787609686539	positive	Mycobacterium, Paenibacillus	0
#F8766D	0.17364817766693	0.64278760968654	0.984807753012208	-0.766044443118978	negative	Bradyrhizobium, Pedobacter	0
#F8766D	0.342020143325669	0.64278760968654	0.939692620785909	-0.766044443118978	negative	Burkholderia, Pedobacter	0
#00BFC4	0.5	0.64278760968654	0.866025403784439	-0.766044443118978	positive	Cellvibrio, Pedobacter	0
#00BFC4	0.642787609686539	0.64278760968654	0.766044443118978	-0.766044443118978	positive	Chitinophaga, Pedobacter	0
#00BFC4	0.766044443118978	0.64278760968654	0.642787609686539	-0.766044443118978	positive	Flavobacterium, Pedobacter	0
#F8766D	0.866025403784439	0.64278760968654	0.5	-0.766044443118978	negative	Gp16, Pedobacter	0
#F8766D	0.939692620785908	0.64278760968654	0.342020143325669	-0.766044443118978	negative	Gp6, Pedobacter	0
#00BFC4	0.984807753012208	0.64278760968654	0.17364817766693	-0.766044443118978	positive	Kaistia, Pedobacter	0
#00BFC4	1	0.64278760968654	6.12323399573677e-17	-0.766044443118978	positive	Labrys, Pedobacter	0
#00BFC4	0.984807753012208	0.64278760968654	-0.17364817766693	-0.766044443118978	positive	Luteibacter, Pedobacter	0
#00BFC4	0.939692620785909	0.64278760968654	-0.342020143325669	-0.766044443118978	positive	Mucilaginibacter, Pedobacter	0
#00BFC4	0.866025403784439	0.64278760968654	-0.5	-0.766044443118978	positive	Mycobacterium, Pedobacter	0
#00BFC4	0.766044443118978	0.64278760968654	-0.642787609686539	-0.766044443118978	positive	Paenibacillus, Pedobacter	0
#F8766D	0	0.5	1	-0.866025403784439	negative	Bacillus, Pseudomonas	0
#F8766D	0.17364817766693	0.5	0.984807753012208	-0.866025403784439	negative	Bradyrhizobium, Pseudomonas	0
#00BFC4	0.342020143325669	0.5	0.939692620785909	-0.866025403784439	positive	Burkholderia, Pseudomonas	0
#00BFC4	0.5	0.5	0.866025403784439	-0.866025403784439	positive	Cellvibrio, Pseudomonas	0
#00BFC4	0.642787609686539	0.5	0.766044443118978	-0.866025403784439	positive	Chitinophaga, Pseudomonas	0
#00BFC4	0.766044443118978	0.5	0.642787609686539	-0.866025403784439	positive	Flavobacterium, Pseudomonas	0
